Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,11280,2298,96,49160,0.001953
2,1000,0.8,0.2,50,1000,1166525,8782,238,48712,0.004886
3,1000,0.8,0.2,50,1000,17151,3364,261,50105,0.005209
4,1000,0.8,0.2,50,1000,610374,8865,226,49382,0.004577
5,1000,0.8,0.2,50,1000,10883,2141,255,50299,0.00507
6,1000,0.8,0.2,50,1000,13143,2659,195,51170,0.003811
7,1000,0.8,0.2,50,1000,6160,1204,64,49339,0.001297
8,1000,0.8,0.2,50,1000,1214081,9115,247,51295,0.004815
9,1000,0.8,0.2,50,1000,98747,9128,225,51719,0.00435
10,1000,0.8,0.2,50,1000,1154174,9126,252,51158,0.004926
5.5,1000,0.8,0.2,50,1000,430251.8,5668.2,205.9,50233.9,0.0040894
