Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,37207,7485,746,49293.33203,0.015134
2,1000,0.8,0.2,50,1000,39525,7848,729,49482.12891,0.014733
3,1000,0.8,0.2,50,1000,35586,7084,764,49056.76563,0.015574
4,1000,0.8,0.2,50,1000,34832,6929,823,50968.30078,0.016147
5,1000,0.8,0.2,50,1000,36806,7302,767,49111.70313,0.015617
6,1000,0.8,0.2,50,1000,37280,7495,767,50753.07422,0.015112
7,1000,0.8,0.2,50,1000,37304,7390,775,49415.75781,0.015683
8,1000,0.8,0.2,50,1000,38954,7784,717,49434.58594,0.014504
9,1000,0.8,0.2,50,1000,34137,6843,821,50396.77344,0.016291
10,1000,0.8,0.2,50,1000,38779,7715,758,49320.19141,0.015369
5.5,1000,0.8,0.2,50,1000,37041,7387.5,766.7,49723.26133,0.0154164
