Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50,1000,2126,1895,832,51919.89453,0.016025
2,1000,0.1,0.2,50,1000,2089,1891,805,50285.47656,0.016009
3,1000,0.1,0.2,50,1000,2101,1883,807,50500.09375,0.01598
4,1000,0.1,0.2,50,1000,2081,1868,815,51452.14844,0.01584
5,1000,0.1,0.2,50,1000,2006,1807,809,50220.08594,0.016109
6,1000,0.1,0.2,50,1000,2033,1816,815,50572.03125,0.016116
7,1000,0.1,0.2,50,1000,2124,1898,812,52354.97266,0.01551
8,1000,0.1,0.2,50,1000,2027,1834,802,49195.63281,0.016302
9,1000,0.1,0.2,50,1000,2092,1877,800,48818.44922,0.016387
10,1000,0.1,0.2,50,1000,1942,1751,794,48601.38281,0.016337
5.5,1000,0.1,0.2,50,1000,2062.1,1852,809.1,50392.0168,0.0160615
