Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1620,1465,999,50445.000000,0.019804
2,1000,0.1,0.2,50.0,1000,1675,1501,998,51825.000000,0.019257
3,1000,0.1,0.2,50.0,1000,1684,1523,999,51566.000000,0.019373
4,1000,0.1,0.2,50.0,1000,1616,1455,999,50034.000000,0.019966
5,1000,0.1,0.2,50.0,1000,1620,1475,999,49391.000000,0.020226
6,1000,0.1,0.2,50.0,1000,1641,1476,999,49791.000000,0.020064
7,1000,0.1,0.2,50.0,1000,1623,1469,999,51550.000000,0.019379
8,1000,0.1,0.2,50.0,1000,1595,1443,999,49737.000000,0.020086
9,1000,0.1,0.2,50.0,1000,1668,1495,999,48631.000000,0.020542
10,1000,0.1,0.2,50.0,1000,1632,1468,999,49884.000000,0.020026
