Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50,1000,3583,2890,999,48252.05859,0.020704
2,1000,0.2,0.2,50,1000,3695,2949,999,50412.30859,0.019817
3,1000,0.2,0.2,50,1000,3832,3034,999,51478.43359,0.019406
4,1000,0.2,0.2,50,1000,3572,2871,999,48398.03516,0.020641
5,1000,0.2,0.2,50,1000,3625,2905,999,49609.58594,0.020137
6,1000,0.2,0.2,50,1000,3657,2951,999,49558.39453,0.020158
7,1000,0.2,0.2,50,1000,3776,3036,999,51034.84375,0.019575
8,1000,0.2,0.2,50,1000,3737,3024,999,49474.71094,0.020192
9,1000,0.2,0.2,50,1000,3821,3019,999,50904.94141,0.019625
10,1000,0.2,0.2,50,1000,3689,2949,999,49213.30469,0.020299
5.5,1000,0.2,0.2,50,1000,3698.7,2962.8,999,49833.66172,0.0200554
