Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0,0,5,1000,565,564,330,5139.177734,0.064213
2,1000,0,0,5,1000,547,546,323,4986.89502,0.06477
3,1000,0,0,5,1000,562,562,315,5096.304199,0.061809
4,1000,0,0,5,1000,537,536,319,4959.371582,0.064323
5,1000,0,0,5,1000,562,560,318,5026.279297,0.063267
6,1000,0,0,5,1000,535,534,306,4945.821777,0.06187
7,1000,0,0,5,1000,566,565,326,5058.864258,0.064441
8,1000,0,0,5,1000,561,559,320,5085.005859,0.06293
9,1000,0,0,5,1000,548,548,314,4909.208984,0.063961
10,1000,0,0,5,1000,572,571,325,5137.858398,0.063256
5.5,1000,0,0,5,1000,555.5,554.5,319.6,5034.478711,0.063484
