Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,10000,0.0,0.0,0.1,10000,419,188,109,1000.734314,0.108920
2,10000,0.0,0.0,0.1,10000,1215,184,105,997.370605,0.105277
3,10000,0.0,0.0,0.1,10000,612,181,105,995.356262,0.105490
4,10000,0.0,0.0,0.1,10000,580,190,190,1007.009216,0.188678
5,10000,0.0,0.0,0.1,10000,1223,181,109,1002.857788,0.108689
6,10000,0.0,0.0,0.1,10000,1820,168,106,1003.723572,0.105607
7,10000,0.0,0.0,0.1,10000,379,188,188,995.550049,0.188840
8,10000,0.0,0.0,0.1,10000,403,184,101,1010.470459,0.099953
9,10000,0.0,0.0,0.1,10000,1171,193,193,997.020813,0.193577
10,10000,0.0,0.0,0.1,10000,776,175,175,996.528442,0.175610
