Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,10000,0.0,0.0,0.1,10000,13035,189,159,996.910156,0.159493
2,10000,0.0,0.0,0.1,10000,13127,182,158,1009.108215,0.156574
3,10000,0.0,0.0,0.1,10000,13248,181,152,1003.000000,0.151545
4,10000,0.0,0.0,0.1,10000,13061,194,165,1005.276794,0.164134
5,10000,0.0,0.0,0.1,10000,13097,185,158,999.172363,0.158131
6,10000,0.0,0.0,0.1,10000,13058,180,160,1003.102966,0.159505
7,10000,0.0,0.0,0.1,10000,13019,175,159,988.196594,0.160899
8,10000,0.0,0.0,0.1,10000,13147,184,158,999.758240,0.158038
9,10000,0.0,0.0,0.1,10000,13266,189,161,1006.000000,0.160040
10,10000,0.0,0.0,0.1,10000,13253,201,169,1005.336182,0.168103
